Epoch;Status;Reason;AvgHdgErr;MaxSpd;MaxAlt;Epsilon
335;[FAILED];Dangerous Premature Takeoff (110.4 kts < 130);0.98;110.4;13;0.2099
336;[FAILED];Dangerous Premature Takeoff (129.9 kts < 130);1.37;129.9;792;0.1966
337;[FAILED];Timeout;1.25;137.9;1396;0.4159
338;[FAILED];Runway Excursion (13.1m);1.67;81.4;9;0.4038
339;[FAILED];Runway Excursion (13.1m);1.66;89.3;9;0.3913
340;[FAILED];Dangerous Premature Takeoff (108.9 kts < 130);0.83;108.9;13;0.3799
341;[FAILED];Runway Excursion (13.1m);1.22;101.2;9;0.3667
342;[FAILED];Dangerous Premature Takeoff (117.6 kts < 130);1.52;117.6;13;0.3520
343;[FAILED];Runway Excursion (13.0m);1.20;101.9;9;0.3401
344;[FAILED];Dangerous Premature Takeoff (106.3 kts < 130);0.43;106.3;13;0.3280
345;[FAILED];Runway Excursion (13.0m);2.54;102.8;9;0.3168
346;[FAILED];Dangerous Premature Takeoff (106.1 kts < 130);0.77;106.1;13;0.3056
347;[FAILED];Dangerous Premature Takeoff (105.9 kts < 130);0.69;105.9;13;0.2947
348;[FAILED];Dangerous Premature Takeoff (106.2 kts < 130);0.51;106.2;13;0.2841
349;[FAILED];Dangerous Premature Takeoff (112.2 kts < 130);1.22;112.2;12;0.2735
350;[FAILED];Runway Excursion (12.1m);1.00;111.1;11;0.2637
351;[FAILED];Runway Excursion (12.1m);3.03;89.1;9;0.2558
352;[FAILED];Dangerous Premature Takeoff (108.0 kts < 130);0.60;108.0;13;0.2464
353;[FAILED];Dangerous Premature Takeoff (130.0 kts < 130);1.23;130.0;1019;0.2301
354;[FAILED];Dangerous Premature Takeoff (114.4 kts < 130);0.57;114.4;13;0.2215
355;[FAILED];Dangerous Premature Takeoff (106.7 kts < 130);0.54;106.7;13;0.2134
356;[FAILED];Dangerous Premature Takeoff (109.5 kts < 130);0.35;109.5;13;0.2060
357;[FAILED];Dangerous Premature Takeoff (109.2 kts < 130);0.37;109.2;13;0.4351
358;[FAILED];Dangerous Premature Takeoff (115.9 kts < 130);0.46;115.9;12;0.4185
359;[FAILED];Dangerous Premature Takeoff (109.1 kts < 130);0.69;109.1;13;0.4028
360;[FAILED];Dangerous Premature Takeoff (108.7 kts < 130);0.89;108.7;13;0.3912
361;[FAILED];Dangerous Premature Takeoff (106.1 kts < 130);1.27;106.1;13;0.3772
362;[FAILED];Runway Excursion (12.1m);2.95;70.1;9;0.3672
363;[FAILED];Dangerous Premature Takeoff (111.3 kts < 130);0.78;111.3;13;0.3539
364;[FAILED];Dangerous Premature Takeoff (111.4 kts < 130);0.47;111.4;13;0.3404
365;[FAILED];Dangerous Premature Takeoff (112.2 kts < 130);2.29;112.2;13;0.3275
366;[FAILED];Dangerous Premature Takeoff (112.5 kts < 130);1.65;112.5;12;0.3154
367;[FAILED];Dangerous Premature Takeoff (108.3 kts < 130);0.53;108.3;13;0.3043
368;[FAILED];Dangerous Premature Takeoff (107.8 kts < 130);0.84;107.8;13;0.2929
369;[FAILED];Dangerous Premature Takeoff (110.7 kts < 130);1.14;110.7;13;0.2819
370;[FAILED];Dangerous Premature Takeoff (129.9 kts < 130);3.13;129.9;1503;0.2599
371;[FAILED];Runway Excursion (12.1m);1.12;93.9;9;0.2520
372;[FAILED];Dangerous Premature Takeoff (121.5 kts < 130);0.74;121.5;12;0.2419
373;[FAILED];Runway Excursion (12.0m);0.59;132.9;9;0.2318
374;[FAILED];Runway Excursion (12.0m);1.52;83.4;9;0.2250
375;[FAILED];Runway Excursion (12.4m);0.73;147.9;9;0.2147
376;[FAILED];Runway Excursion (12.1m);0.71;122.9;9;0.2063
377;[FAILED];Runway Excursion (12.0m);0.48;139.4;9;0.4320
378;[FAILED];Runway Excursion (12.1m);1.17;87.4;9;0.4191
379;[FAILED];Runway Excursion (12.3m);1.12;120.3;9;0.4029
380;[FAILED];Dangerous Premature Takeoff (119.5 kts < 130);0.97;119.5;12;0.3902
381;[FAILED];Timeout;4.04;132.8;1527;0.3592
382;[FAILED];Runway Excursion (12.1m);0.85;159.1;10;0.3410
383;[FAILED];Runway Excursion (12.1m);1.03;127.2;9;0.3271
384;[FAILED];Runway Excursion (12.0m);1.30;86.1;9;0.3171
385;[FAILED];Runway Excursion (12.0m);1.01;149.8;9;0.3017
386;[FAILED];Runway Excursion (12.2m);0.67;141.6;9;0.2880
387;[FAILED];Runway Excursion (12.1m);1.02;152.5;9;0.2740
388;[FAILED];Runway Excursion (12.0m);1.82;84.2;9;0.2661
389;[FAILED];Runway Excursion (12.0m);1.69;115.2;9;0.2558
390;[FAILED];Dangerous Premature Takeoff (129.9 kts < 130);1.13;129.9;1379;0.2364
391;[FAILED];Runway Excursion (12.1m);1.21;86.8;9;0.2294
392;[FAILED];Runway Excursion (12.1m);1.20;138.5;9;0.2191
393;[FAILED];Runway Excursion (12.1m);1.20;120.4;9;0.2105
